	A,After,All,Although,American,An,And,think,this,thought,time,to,told,ought,place,see,seen,shall,should,so,no,not,of,on,one,or,took,upon,was,we,were,what,struck,that,the,there,these,they,me,meeting,must,my,myself,never,is,it,know,long,man,may,he,her,him,his,if,in,and,are,as,at,be,been,for,from,give,had,has,have,God,He,His,History,How,I,when,will,with,would,you,your,As,At,But,Court,Even,For,From,by,can,certain,could,do,doubt,first,University,a,all,also,am,an
no	162585,162585,100836,100836,112745,112745,105313,105313,129058,129058,109494,109494,143829,143829,137964,137964,516543,516543,289121,289121,106061,106061,94496,94496,109667,109667,106994,106994,114157,114157,307095,307095,112986,112986,111069,111069,130141,130141,2422715,2422715,125431,125431,625240,625240,103149,103149,102762,102762,232552,232552,104576,104576,207855,207855,102298,102298,102582,102582,109445,109445,150696,150696,0,0,134641,134641,100663,100663,139789,139789,100181,100181,116505,116505,1166777,1166777,122653,122653,116958,116958,95826,95826,97026,97026,177006,177006,111295,111295,1505093,1505093,137918,137918,97091,97091,96456,96456,119478,119478,102402,102402,305148,305148,193942,193942,199829,199829,94468,94468,124025,124025,115734,115734,105876,105876,108270,108270,488004,488004,96486,96486,82453,82453,116412,116412,99849,99849,1188575,1188575,345308,345308,1048714,1048714,98357,98357,107212,107212,101367,101367,158824,158824,118717,118717,98895,98895,90090,90090,99279,99279,96864,96864,110748,110748,103132,103132,1397242,1397242,1436931,1436931,131344,131344,109143,109143,111153,111153,98410,98410,147474,147474,100029,100029,124764,124764,465618,465618,106305,106305,112953,112953,115952,115952,202381,202381,104259,104259,98573,98573,104973,104973,112572,112572,108287,108287,110336,110336,124472,124472,156291,156291,99321,99321
not	153226,153226,112477,112477,119350,119350,112758,112758,134497,134497,118931,118931,159900,159900,147329,147329,489488,489488,278150,278150,110936,110936,116969,116969,121130,121130,103069,103069,130374,130374,320314,320314,115315,115315,117096,117096,141868,141868,2420870,2420870,132726,132726,645793,645793,106968,106968,107889,107889,200953,200953,110799,110799,181852,181852,115327,115327,109523,109523,106380,106380,163657,163657,134641,134641,0,0,110578,110578,110554,110554,107212,107212,142068,142068,1206532,1206532,116612,116612,109473,109473,103195,103195,108961,108961,214469,214469,122762,122762,1518220,1518220,148709,148709,108092,108092,122001,122001,128217,128217,120171,120171,289241,289241,189089,189089,219936,219936,104571,104571,131476,131476,130225,130225,114541,114541,120469,120469,473873,473873,103251,103251,111870,111870,135417,135417,114956,114956,1230490,1230490,354379,354379,1051475,1051475,104132,104132,112653,112653,107784,107784,214805,214805,115468,115468,100062,100062,117707,117707,105916,105916,109689,109689,124725,124725,86407,86407,1406743,1406743,1413958,1413958,125863,125863,115032,115032,112120,112120,106611,106611,152521,152521,112002,112002,120331,120331,480635,480635,111310,111310,124364,124364,122879,122879,204000,204000,128246,128246,111952,111952,119860,119860,116973,116973,117492,117492,128211,128211,152737,152737,184300,184300,107942,107942
of	153226,153226,112477,112477,119350,119350,112758,112758,134497,134497,118931,118931,159900,159900,147329,147329,489488,489488,278150,278150,110936,110936,116969,116969,121130,121130,103069,103069,130374,130374,320314,320314,115315,115315,117096,117096,141868,141868,2420870,2420870,132726,132726,645793,645793,106968,106968,107889,107889,200953,200953,110799,110799,181852,181852,115327,115327,109523,109523,106380,106380,163657,163657,134641,134641,0,0,110578,110578,110554,110554,107212,107212,142068,142068,1206532,1206532,116612,116612,109473,109473,103195,103195,108961,108961,214469,214469,122762,122762,1518220,1518220,148709,148709,108092,108092,122001,122001,128217,128217,120171,120171,289241,289241,189089,189089,219936,219936,104571,104571,131476,131476,130225,130225,114541,114541,120469,120469,473873,473873,103251,103251,111870,111870,135417,135417,114956,114956,1230490,1230490,354379,354379,1051475,1051475,104132,104132,112653,112653,107784,107784,214805,214805,115468,115468,100062,100062,117707,117707,105916,105916,109689,109689,124725,124725,86407,86407,1406743,1406743,1413958,1413958,125863,125863,115032,115032,112120,112120,106611,106611,152521,152521,112002,112002,120331,120331,480635,480635,111310,111310,124364,124364,122879,122879,204000,204000,128246,128246,111952,111952,119860,119860,116973,116973,117492,117492,128211,128211,152737,152737,184300,184300,107942,107942
on	123116,123116,53767,53767,58602,58602,67108,67108,78775,78775,53171,53171,102074,102074,107201,107201,488652,488652,283662,283662,61322,61322,55613,55613,68896,68896,69469,69469,60318,60318,309958,309958,56859,56859,59762,59762,58142,58142,2476426,2476426,71840,71840,653995,653995,46286,46286,51891,51891,210955,210955,49837,49837,171600,171600,41587,41587,53719,53719,72330,72330,94773,94773,100663,100663,110578,110578,0,0,96938,96938,67344,67344,67476,67476,1161948,1161948,92206,92206,86783,86783,50731,50731,36525,36525,193961,193961,59014,59014,1491296,1491296,103919,103919,42294,42294,49891,49891,59781,59781,61479,61479,307715,307715,160451,160451,192888,192888,32195,32195,60098,60098,61775,61775,36061,36061,44371,44371,454731,454731,34723,34723,50254,50254,75665,75665,46308,46308,1202788,1202788,346895,346895,1064263,1064263,65404,65404,64687,64687,48492,48492,152099,152099,88158,88158,45326,45326,48739,48739,35954,35954,36247,36247,56547,56547,70387,70387,1431517,1431517,1492294,1492294,82583,82583,51762,51762,62940,62940,58013,58013,100283,100283,51114,51114,102483,102483,494849,494849,50488,50488,56388,56388,58143,58143,187174,187174,69358,69358,42012,42012,48532,48532,48253,48253,41400,41400,95335,95335,76411,76411,130608,130608,38018,38018
one	123116,123116,53767,53767,58602,58602,67108,67108,78775,78775,53171,53171,102074,102074,107201,107201,488652,488652,283662,283662,61322,61322,55613,55613,68896,68896,69469,69469,60318,60318,309958,309958,56859,56859,59762,59762,58142,58142,2476426,2476426,71840,71840,653995,653995,46286,46286,51891,51891,210955,210955,49837,49837,171600,171600,41587,41587,53719,53719,72330,72330,94773,94773,100663,100663,110578,110578,0,0,96938,96938,67344,67344,67476,67476,1161948,1161948,92206,92206,86783,86783,50731,50731,36525,36525,193961,193961,59014,59014,1491296,1491296,103919,103919,42294,42294,49891,49891,59781,59781,61479,61479,307715,307715,160451,160451,192888,192888,32195,32195,60098,60098,61775,61775,36061,36061,44371,44371,454731,454731,34723,34723,50254,50254,75665,75665,46308,46308,1202788,1202788,346895,346895,1064263,1064263,65404,65404,64687,64687,48492,48492,152099,152099,88158,88158,45326,45326,48739,48739,35954,35954,36247,36247,56547,56547,70387,70387,1431517,1431517,1492294,1492294,82583,82583,51762,51762,62940,62940,58013,58013,100283,100283,51114,51114,102483,102483,494849,494849,50488,50488,56388,56388,58143,58143,187174,187174,69358,69358,42012,42012,48532,48532,48253,48253,41400,41400,95335,95335,76411,76411,130608,130608,38018,38018
or	181704,181704,102289,102289,108390,108390,113200,113200,127613,127613,101015,101015,173010,173010,167321,167321,531300,531300,292196,292196,100358,100358,101301,101301,119386,119386,115561,115561,121284,121284,349796,349796,107623,107623,105962,105962,126608,126608,2436072,2436072,117346,117346,703825,703825,98204,98204,96289,96289,180515,180515,98071,98071,231166,231166,106839,106839,110647,110647,126782,126782,160647,160647,139789,139789,110554,110554,96938,96938,0,0,88442,88442,88038,88038,1145722,1145722,145596,145596,144805,144805,106409,106409,85175,85175,230147,230147,113464,113464,1473282,1473282,161289,161289,94700,94700,102497,102497,117909,117909,114789,114789,346255,346255,218949,218949,238936,238936,84993,84993,112560,112560,114339,114339,101253,101253,101715,101715,495823,495823,87697,87697,88274,88274,105071,105071,96770,96770,1191296,1191296,333699,333699,1110089,1110089,125962,125962,115821,115821,95168,95168,140749,140749,133692,133692,85702,85702,93989,93989,87298,87298,94583,94583,104019,104019,80851,80851,1420273,1420273,1473664,1473664,127123,127123,103238,103238,110904,110904,97067,97067,165205,165205,100570,100570,132903,132903,508543,508543,89826,89826,101494,101494,98723,98723,216370,216370,121538,121538,97018,97018,103430,103430,98765,98765,103130,103130,148093,148093,137039,137039,167662,167662,87888,87888
ought	181704,181704,102289,102289,108390,108390,113200,113200,127613,127613,101015,101015,173010,173010,167321,167321,531300,531300,292196,292196,100358,100358,101301,101301,119386,119386,115561,115561,121284,121284,349796,349796,107623,107623,105962,105962,126608,126608,2436072,2436072,117346,117346,703825,703825,98204,98204,96289,96289,180515,180515,98071,98071,231166,231166,106839,106839,110647,110647,126782,126782,160647,160647,139789,139789,110554,110554,96938,96938,0,0,88442,88442,88038,88038,1145722,1145722,145596,145596,144805,144805,106409,106409,85175,85175,230147,230147,113464,113464,1473282,1473282,161289,161289,94700,94700,102497,102497,117909,117909,114789,114789,346255,346255,218949,218949,238936,238936,84993,84993,112560,112560,114339,114339,101253,101253,101715,101715,495823,495823,87697,87697,88274,88274,105071,105071,96770,96770,1191296,1191296,333699,333699,1110089,1110089,125962,125962,115821,115821,95168,95168,140749,140749,133692,133692,85702,85702,93989,93989,87298,87298,94583,94583,104019,104019,80851,80851,1420273,1420273,1473664,1473664,127123,127123,103238,103238,110904,110904,97067,97067,165205,165205,100570,100570,132903,132903,508543,508543,89826,89826,101494,101494,98723,98723,216370,216370,121538,121538,97018,97018,103430,103430,98765,98765,103130,103130,148093,148093,137039,137039,167662,167662,87888,87888
place	153116,153116,77847,77847,82288,82288,96558,96558,111307,111307,81117,81117,123914,123914,136851,136851,507470,507470,265970,265970,83892,83892,80061,80061,91100,91100,97047,97047,93286,93286,306352,306352,87525,87525,91666,91666,100084,100084,2448218,2448218,102506,102506,644807,644807,68540,68540,70031,70031,208025,208025,73911,73911,194514,194514,76071,76071,77831,77831,86690,86690,119371,119371,100181,100181,107212,107212,67344,67344,88442,88442,0,0,74944,74944,1162152,1162152,110524,110524,107919,107919,70525,70525,69857,69857,176491,176491,81494,81494,1477798,1477798,109473,109473,65976,65976,70425,70425,84551,84551,79367,79367,290705,290705,166887,166887,177662,177662,62235,62235,92466,92466,95521,95521,69319,69319,73877,73877,482093,482093,58533,58533,64584,64584,87895,87895,69858,69858,1193646,1193646,336973,336973,1042863,1042863,87136,87136,84001,84001,75006,75006,150705,150705,108224,108224,56756,56756,69661,69661,61010,61010,59873,59873,77053,77053,96615,96615,1406291,1406291,1469338,1469338,91931,91931,78402,78402,78182,78182,64385,64385,114223,114223,72058,72058,110519,110519,479205,479205,73172,73172,82492,82492,85933,85933,166904,166904,85976,85976,69560,69560,72978,72978,75729,75729,69706,69706,105939,105939,94759,94759,121502,121502,69928,69928
see	153116,153116,77847,77847,82288,82288,96558,96558,111307,111307,81117,81117,123914,123914,136851,136851,507470,507470,265970,265970,83892,83892,80061,80061,91100,91100,97047,97047,93286,93286,306352,306352,87525,87525,91666,91666,100084,100084,2448218,2448218,102506,102506,644807,644807,68540,68540,70031,70031,208025,208025,73911,73911,194514,194514,76071,76071,77831,77831,86690,86690,119371,119371,100181,100181,107212,107212,67344,67344,88442,88442,0,0,74944,74944,1162152,1162152,110524,110524,107919,107919,70525,70525,69857,69857,176491,176491,81494,81494,1477798,1477798,109473,109473,65976,65976,70425,70425,84551,84551,79367,79367,290705,290705,166887,166887,177662,177662,62235,62235,92466,92466,95521,95521,69319,69319,73877,73877,482093,482093,58533,58533,64584,64584,87895,87895,69858,69858,1193646,1193646,336973,336973,1042863,1042863,87136,87136,84001,84001,75006,75006,150705,150705,108224,108224,56756,56756,69661,69661,61010,61010,59873,59873,77053,77053,96615,96615,1406291,1406291,1469338,1469338,91931,91931,78402,78402,78182,78182,64385,64385,114223,114223,72058,72058,110519,110519,479205,479205,73172,73172,82492,82492,85933,85933,166904,166904,85976,85976,69560,69560,72978,72978,75729,75729,69706,69706,105939,105939,94759,94759,121502,121502,69928,69928
seen	154532,154532,90811,90811,91088,91088,106928,106928,119683,119683,90533,90533,126076,126076,138253,138253,522682,522682,264678,264678,96392,96392,93981,93981,102740,102740,106883,106883,93052,93052,323878,323878,93521,93521,101518,101518,98278,98278,2438774,2438774,113178,113178,658963,658963,85048,85048,87099,87099,192909,192909,78351,78351,201826,201826,83329,83329,91639,91639,109478,109478,117443,117443,116505,116505,142068,142068,67476,67476,88038,88038,74944,74944,0,0,1172194,1172194,134068,134068,127049,127049,90727,90727,72419,72419,196619,196619,96042,96042,1458914,1458914,140551,140551,80292,80292,84781,84781,95707,95707,97099,97099,313063,313063,182565,182565,195242,195242,64533,64533,99596,99596,98825,98825,74799,74799,79185,79185,494807,494807,71417,71417,68246,68246,90367,90367,79308,79308,1217242,1217242,341609,341609,1058051,1058051,106292,106292,101211,101211,88584,88584,130195,130195,128420,128420,78972,78972,85223,85223,76206,76206,75079,75079,87149,87149,104771,104771,1418957,1418957,1488444,1488444,120237,120237,89036,89036,98076,98076,68715,68715,127081,127081,91634,91634,136221,136221,466637,466637,75912,75912,94782,94782,92385,92385,193296,193296,96022,96022,80958,80958,81522,81522,77919,77919,80750,80750,116073,116073,111387,111387,128310,128310,73996,73996
shall	154532,154532,90811,90811,91088,91088,106928,106928,119683,119683,90533,90533,126076,126076,138253,138253,522682,522682,264678,264678,96392,96392,93981,93981,102740,102740,106883,106883,93052,93052,323878,323878,93521,93521,101518,101518,98278,98278,2438774,2438774,113178,113178,658963,658963,85048,85048,87099,87099,192909,192909,78351,78351,201826,201826,83329,83329,91639,91639,109478,109478,117443,117443,116505,116505,142068,142068,67476,67476,88038,88038,74944,74944,0,0,1172194,1172194,134068,134068,127049,127049,90727,90727,72419,72419,196619,196619,96042,96042,1458914,1458914,140551,140551,80292,80292,84781,84781,95707,95707,97099,97099,313063,313063,182565,182565,195242,195242,64533,64533,99596,99596,98825,98825,74799,74799,79185,79185,494807,494807,71417,71417,68246,68246,90367,90367,79308,79308,1217242,1217242,341609,341609,1058051,1058051,106292,106292,101211,101211,88584,88584,130195,130195,128420,128420,78972,78972,85223,85223,76206,76206,75079,75079,87149,87149,104771,104771,1418957,1418957,1488444,1488444,120237,120237,89036,89036,98076,98076,68715,68715,127081,127081,91634,91634,136221,136221,466637,466637,75912,75912,94782,94782,92385,92385,193296,193296,96022,96022,80958,80958,81522,81522,77919,77919,80750,80750,116073,116073,111387,111387,128310,128310,73996,73996
should	1247086,1247086,1167209,1167209,1171824,1171824,1175942,1175942,1193545,1193545,1167451,1167451,1230824,1230824,1231321,1231321,1596658,1596658,1363598,1363598,1166502,1166502,1168469,1168469,1185420,1185420,1182485,1182485,1188052,1188052,1419320,1419320,1176597,1176597,1171504,1171504,1190532,1190532,1875230,1875230,1182342,1182342,1742319,1742319,1164110,1164110,1160959,1160959,1170533,1170533,1162953,1162953,1303114,1303114,1173595,1173595,1177401,1177401,1193632,1193632,1226121,1226121,1166777,1166777,1206532,1206532,1161948,1161948,1145722,1145722,1162152,1162152,1172194,1172194,0,0,1210452,1210452,1212319,1212319,1172231,1172231,1151933,1151933,1251595,1251595,1179638,1179638,941426,941426,1227453,1227453,1158694,1158694,1167505,1167505,1186469,1186469,1182283,1182283,1391011,1391011,1282565,1282565,1270506,1270506,1151277,1151277,1177752,1177752,1181355,1181355,1165761,1165761,1167407,1167407,1562763,1562763,1153681,1153681,1146186,1146186,1164749,1164749,1159450,1159450,628190,628190,1221665,1221665,2164437,2164437,1188280,1188280,1180111,1180111,1161538,1161538,1146683,1146683,1199722,1199722,1151270,1151270,1146853,1146853,1153018,1153018,1156011,1156011,1176411,1176411,1171809,1171809,886535,886535,2418864,2418864,1183807,1183807,1166520,1166520,1174990,1174990,1164623,1164623,1230805,1230805,1166990,1166990,1199589,1199589,1348535,1348535,1155882,1155882,1167038,1167038,1165283,1165283,1289444,1289444,1188292,1188292,1163774,1163774,1161344,1161344,1165659,1165659,1170670,1170670,1212549,1212549,1193861,1193861,1206874,1206874,1152036,1152036
so	1247086,1247086,1167209,1167209,1171824,1171824,1175942,1175942,1193545,1193545,1167451,1167451,1230824,1230824,1231321,1231321,1596658,1596658,1363598,1363598,1166502,1166502,1168469,1168469,1185420,1185420,1182485,1182485,1188052,1188052,1419320,1419320,1176597,1176597,1171504,1171504,1190532,1190532,1875230,1875230,1182342,1182342,1742319,1742319,1164110,1164110,1160959,1160959,1170533,1170533,1162953,1162953,1303114,1303114,1173595,1173595,1177401,1177401,1193632,1193632,1226121,1226121,1166777,1166777,1206532,1206532,1161948,1161948,1145722,1145722,1162152,1162152,1172194,1172194,0,0,1210452,1210452,1212319,1212319,1172231,1172231,1151933,1151933,1251595,1251595,1179638,1179638,941426,941426,1227453,1227453,1158694,1158694,1167505,1167505,1186469,1186469,1182283,1182283,1391011,1391011,1282565,1282565,1270506,1270506,1151277,1151277,1177752,1177752,1181355,1181355,1165761,1165761,1167407,1167407,1562763,1562763,1153681,1153681,1146186,1146186,1164749,1164749,1159450,1159450,628190,628190,1221665,1221665,2164437,2164437,1188280,1188280,1180111,1180111,1161538,1161538,1146683,1146683,1199722,1199722,1151270,1151270,1146853,1146853,1153018,1153018,1156011,1156011,1176411,1176411,1171809,1171809,886535,886535,2418864,2418864,1183807,1183807,1166520,1166520,1174990,1174990,1164623,1164623,1230805,1230805,1166990,1166990,1199589,1199589,1348535,1348535,1155882,1155882,1167038,1167038,1165283,1165283,1289444,1289444,1188292,1188292,1163774,1163774,1161344,1161344,1165659,1165659,1170670,1170670,1212549,1212549,1193861,1193861,1206874,1206874,1152036,1152036
struck	130112,130112,71383,71383,84392,84392,73724,73724,75669,75669,78903,78903,122498,122498,108559,108559,482736,482736,274932,274932,75174,75174,77891,77891,83474,83474,69759,69759,95306,95306,297038,297038,75043,75043,76068,76068,104216,104216,2469988,2469988,73276,73276,651465,651465,73956,73956,78633,78633,233517,233517,83337,83337,180600,180600,77181,77181,88265,88265,93398,93398,144411,144411,122653,122653,116612,116612,92206,92206,145596,145596,110524,110524,134068,134068,1210452,1210452,0,0,99377,99377,77217,77217,87143,87143,218939,218939,89110,89110,1519464,1519464,124939,124939,78866,78866,99659,99659,90191,90191,91333,91333,292239,292239,155447,155447,225298,225298,85217,85217,96790,96790,94763,94763,89465,89465,80473,80473,448771,448771,80539,80539,103280,103280,127581,127581,91526,91526,1235678,1235678,389567,389567,1050591,1050591,86116,86116,90307,90307,72668,72668,203877,203877,42856,42856,81176,81176,90463,90463,86842,86842,92287,92287,105475,105475,92493,92493,1433095,1433095,1456592,1456592,107611,107611,77602,77602,95184,95184,101809,101809,127853,127853,90128,90128,88121,88121,520727,520727,102090,102090,95380,95380,96453,96453,193962,193962,92462,92462,74332,74332,84280,84280,80497,80497,94290,94290,119579,119579,122657,122657,192262,192262,78686,78686
that	130112,130112,71383,71383,84392,84392,73724,73724,75669,75669,78903,78903,122498,122498,108559,108559,482736,482736,274932,274932,75174,75174,77891,77891,83474,83474,69759,69759,95306,95306,297038,297038,75043,75043,76068,76068,104216,104216,2469988,2469988,73276,73276,651465,651465,73956,73956,78633,78633,233517,233517,83337,83337,180600,180600,77181,77181,88265,88265,93398,93398,144411,144411,122653,122653,116612,116612,92206,92206,145596,145596,110524,110524,134068,134068,1210452,1210452,0,0,99377,99377,77217,77217,87143,87143,218939,218939,89110,89110,1519464,1519464,124939,124939,78866,78866,99659,99659,90191,90191,91333,91333,292239,292239,155447,155447,225298,225298,85217,85217,96790,96790,94763,94763,89465,89465,80473,80473,448771,448771,80539,80539,103280,103280,127581,127581,91526,91526,1235678,1235678,389567,389567,1050591,1050591,86116,86116,90307,90307,72668,72668,203877,203877,42856,42856,81176,81176,90463,90463,86842,86842,92287,92287,105475,105475,92493,92493,1433095,1433095,1456592,1456592,107611,107611,77602,77602,95184,95184,101809,101809,127853,127853,90128,90128,88121,88121,520727,520727,102090,102090,95380,95380,96453,96453,193962,193962,92462,92462,74332,74332,84280,84280,80497,80497,94290,94290,119579,119579,122657,122657,192262,192262,78686,78686
the	92789,92789,72556,72556,80251,80251,71983,71983,90760,90760,71176,71176,113253,113253,79960,79960,450871,450871,263599,263599,87611,87611,85008,85008,61615,61615,69328,69328,88531,88531,269373,269373,84150,84150,73069,73069,102843,102843,2440025,2440025,85283,85283,619268,619268,68313,68313,75496,75496,227250,227250,75104,75104,138413,138413,81412,81412,64014,64014,61983,61983,128684,128684,116958,116958,109473,109473,86783,86783,144805,144805,107919,107919,127049,127049,1212319,1212319,99377,99377,0,0,63660,63660,78428,78428,193220,193220,92385,92385,1492075,1492075,113812,113812,75345,75345,85478,85478,83506,83506,95248,95248,261396,261396,133226,133226,207679,207679,81324,81324,100067,100067,89470,89470,89418,89418,88606,88606,428790,428790,76948,76948,90423,90423,126358,126358,79947,79947,1233229,1233229,375634,375634,1010986,1010986,53185,53185,71454,71454,79235,79235,204582,204582,98445,98445,90783,90783,82052,82052,84323,84323,83038,83038,83236,83236,96288,96288,1414588,1414588,1443035,1443035,106090,106090,73361,73361,93307,93307,92310,92310,111528,111528,80771,80771,108486,108486,455604,455604,98601,98601,94959,94959,96226,96226,173053,173053,94027,94027,81151,81151,86773,86773,85986,85986,82311,82311,78016,78016,113666,113666,173075,173075,76811,76811
there	92789,92789,72556,72556,80251,80251,71983,71983,90760,90760,71176,71176,113253,113253,79960,79960,450871,450871,263599,263599,87611,87611,85008,85008,61615,61615,69328,69328,88531,88531,269373,269373,84150,84150,73069,73069,102843,102843,2440025,2440025,85283,85283,619268,619268,68313,68313,75496,75496,227250,227250,75104,75104,138413,138413,81412,81412,64014,64014,61983,61983,128684,128684,116958,116958,109473,109473,86783,86783,144805,144805,107919,107919,127049,127049,1212319,1212319,99377,99377,0,0,63660,63660,78428,78428,193220,193220,92385,92385,1492075,1492075,113812,113812,75345,75345,85478,85478,83506,83506,95248,95248,261396,261396,133226,133226,207679,207679,81324,81324,100067,100067,89470,89470,89418,89418,88606,88606,428790,428790,76948,76948,90423,90423,126358,126358,79947,79947,1233229,1233229,375634,375634,1010986,1010986,53185,53185,71454,71454,79235,79235,204582,204582,98445,98445,90783,90783,82052,82052,84323,84323,83038,83038,83236,83236,96288,96288,1414588,1414588,1443035,1443035,106090,106090,73361,73361,93307,93307,92310,92310,111528,111528,80771,80771,108486,108486,455604,455604,98601,98601,94959,94959,96226,96226,173053,173053,94027,94027,81151,81151,86773,86773,85986,85986,82311,82311,78016,78016,113666,113666,173075,173075,76811,76811
these	106103,106103,30598,30598,42007,42007,45967,45967,62896,62896,39866,39866,94589,94589,89474,89474,464197,464197,288343,288343,42271,42271,41860,41860,46631,46631,52918,52918,53241,53241,290723,290723,44580,44580,42461,42461,65341,65341,2486625,2486625,58029,58029,651896,651896,31725,31725,29938,29938,218738,218738,37582,37582,159611,159611,45066,45066,34110,34110,42645,42645,95232,95232,95826,95826,103195,103195,50731,50731,106409,106409,70525,70525,90727,90727,1172231,1172231,77217,77217,63660,63660,0,0,40898,40898,182490,182490,49243,49243,1489515,1489515,87288,87288,31595,31595,52428,52428,45732,45732,63502,63502,295148,295148,141560,141560,193407,193407,43672,43672,57223,57223,52434,52434,51768,51768,40454,40454,433566,433566,40348,40348,61425,61425,87244,87244,40151,40151,1202155,1202155,349306,349306,1052388,1052388,48879,48879,45058,45058,34159,34159,163974,163974,71593,71593,52099,52099,46740,46740,45791,45791,45626,45626,57660,57660,67784,67784,1426356,1426356,1487535,1487535,73132,73132,38671,38671,62655,62655,63928,63928,100586,100586,45215,45215,86132,86132,497824,497824,60583,60583,54929,54929,56608,56608,178783,178783,60809,60809,39061,39061,50193,50193,48874,48874,52763,52763,80192,80192,77420,77420,155275,155275,38417,38417
they	106103,106103,30598,30598,42007,42007,45967,45967,62896,62896,39866,39866,94589,94589,89474,89474,464197,464197,288343,288343,42271,42271,41860,41860,46631,46631,52918,52918,53241,53241,290723,290723,44580,44580,42461,42461,65341,65341,2486625,2486625,58029,58029,651896,651896,31725,31725,29938,29938,218738,218738,37582,37582,159611,159611,45066,45066,34110,34110,42645,42645,95232,95232,95826,95826,103195,103195,50731,50731,106409,106409,70525,70525,90727,90727,1172231,1172231,77217,77217,63660,63660,0,0,40898,40898,182490,182490,49243,49243,1489515,1489515,87288,87288,31595,31595,52428,52428,45732,45732,63502,63502,295148,295148,141560,141560,193407,193407,43672,43672,57223,57223,52434,52434,51768,51768,40454,40454,433566,433566,40348,40348,61425,61425,87244,87244,40151,40151,1202155,1202155,349306,349306,1052388,1052388,48879,48879,45058,45058,34159,34159,163974,163974,71593,71593,52099,52099,46740,46740,45791,45791,45626,45626,57660,57660,67784,67784,1426356,1426356,1487535,1487535,73132,73132,38671,38671,62655,62655,63928,63928,100586,100586,45215,45215,86132,86132,497824,497824,60583,60583,54929,54929,56608,56608,178783,178783,60809,60809,39061,39061,50193,50193,48874,48874,52763,52763,80192,80192,77420,77420,155275,155275,38417,38417
think	121693,121693,44858,44858,52995,52995,58159,58159,72788,72788,43308,43308,109753,109753,105834,105834,481377,481377,297493,297493,51323,51323,47478,47478,64803,64803,61614,61614,58307,58307,315293,315293,51400,51400,49837,49837,62577,62577,2492063,2492063,62975,62975,661814,661814,40655,40655,38258,38258,212644,212644,38686,38686,173617,173617,45150,45150,48082,48082,63449,63449,97436,97436,97026,97026,108961,108961,36525,36525,85175,85175,69857,69857,72419,72419,1151933,1151933,87143,87143,78428,78428,40898,40898,0,0,203396,203396,52389,52389,1500517,1500517,105070,105070,32973,32973,43874,43874,58766,58766,57896,57896,309056,309056,158338,158338,204223,204223,22104,22104,54719,54719,49394,49394,40214,40214,34956,34956,439580,439580,30692,30692,51257,51257,69172,69172,33549,33549,1200449,1200449,362724,362724,1065974,1065974,60393,60393,58182,58182,38357,38357,140656,140656,78443,78443,36181,36181,37316,37316,34135,34135,33236,33236,53082,53082,58912,58912,1445234,1445234,1500183,1500183,76482,76482,44275,44275,61919,61919,58706,58706,110834,110834,44209,44209,96104,96104,512580,512580,43881,43881,43501,43501,41498,41498,189279,189279,65855,65855,39877,39877,42449,42449,42664,42664,40525,40525,94358,94358,78116,78116,148879,148879,28987,28987
this	121693,121693,44858,44858,52995,52995,58159,58159,72788,72788,43308,43308,109753,109753,105834,105834,481377,481377,297493,297493,51323,51323,47478,47478,64803,64803,61614,61614,58307,58307,315293,315293,51400,51400,49837,49837,62577,62577,2492063,2492063,62975,62975,661814,661814,40655,40655,38258,38258,212644,212644,38686,38686,173617,173617,45150,45150,48082,48082,63449,63449,97436,97436,97026,97026,108961,108961,36525,36525,85175,85175,69857,69857,72419,72419,1151933,1151933,87143,87143,78428,78428,40898,40898,0,0,203396,203396,52389,52389,1500517,1500517,105070,105070,32973,32973,43874,43874,58766,58766,57896,57896,309056,309056,158338,158338,204223,204223,22104,22104,54719,54719,49394,49394,40214,40214,34956,34956,439580,439580,30692,30692,51257,51257,69172,69172,33549,33549,1200449,1200449,362724,362724,1065974,1065974,60393,60393,58182,58182,38357,38357,140656,140656,78443,78443,36181,36181,37316,37316,34135,34135,33236,33236,53082,53082,58912,58912,1445234,1445234,1500183,1500183,76482,76482,44275,44275,61919,61919,58706,58706,110834,110834,44209,44209,96104,96104,512580,512580,43881,43881,43501,43501,41498,41498,189279,189279,65855,65855,39877,39877,42449,42449,42664,42664,40525,40525,94358,94358,78116,78116,148879,148879,28987,28987
